date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,contract_size,forward_price,ticker
20190619,20190719,C,265000,3.9,4.25,16,547,0.136732,0.507326,0.038968,29.73785,-25.34194,100,265.016782,^DJI
20190619,20190719,P,265000,3.4,3.65,89,53,0.118801,-0.491581,0.044852,29.73919,-22.29252,100,265.016782,^DJI
20190619,20190719,C,125000,3,3.1,289,1594,0.229358,0.492966,0.049681,14.19416,-21.71928,100,124.536161,AXP
20190619,20190719,P,125000,3.4,3.55,34,109,0.226185,-0.511729,0.049684,14.18884,-18.13694,100,124.536161,AXP
20190619,20190719,C,200000,4.55,4.65,3549,37997,0.238637,0.462827,0.029334,22.53162,-34.79584,100,198.261889,AAPL
20190619,20190719,P,200000,6.2,6.3,1319,19315,0.233465,-0.542341,0.030345,22.46299,-29.64527,100,198.261889,AAPL
20190619,20190719,C,370000,10.3,10.45,553,2217,0.254243,0.504022,0.014845,42.15518,-69.39366,100,369.289947,BA
20190619,20190719,P,370000,10.55,10.7,632,987,0.242197,-0.500309,0.015751,42.11391,-58.05772,100,369.289947,BA
20190619,20190719,C,130000,4,4.15,194,2953,0.243337,0.552026,0.043376,14.9691,-23.54463,100,129.836638,CAT
20190619,20190719,P,130000,3.5,3.65,156,1809,0.235564,-0.490066,0.044851,14.82014,-19.60154,100,129.836638,CAT
20190619,20190719,C,110000,2.34,2.39,587,9679,0.209136,0.493981,0.066922,12.29156,-18.92967,100,109.326096,JPM
20190619,20190719,P,110000,2.98,3.05,320,9222,0.211602,-0.5283,0.059932,12.4166,-14.73816,100,109.326096,JPM
20190619,20190719,C,125000,1.69,1.71,1097,7045,0.178158,0.394021,0.061287,13.55216,-15.81341,100,123.133388,CVX
20190619,20190719,P,125000,3.45,3.5,217,2512,0.169575,-0.619201,0.065544,13.3753,-12.31638,100,123.133388,CVX
20190619,20190719,C,55000,1.88,1.9,978,19749,0.212194,0.645244,0.12291,5.720372,-9.544289,100,55.890475,CSCO
20190619,20190719,P,55000,0.87,0.89,971,10138,0.200804,-0.379294,0.118124,6.092745,-6.969488,100,55.890475,CSCO
20190619,20190719,C,50000,1.66,1.68,106,8771,0.162247,0.70603,0.144832,5.050098,-5.810243,100,51.221244,KO
20190619,20190719,P,50000,0.35,0.37,190,3782,0.143367,-0.274128,0.15977,4.876295,-3.944863,100,51.221244,KO
20190619,20190719,C,140000,3.75,3.8,1151,23093,0.195702,0.571422,0.049633,15.85853,-20.72214,100,141.199097,DIS
20190619,20190719,P,145000,6.4,6.55,580,1108,0.262221,-0.62813,0.03631,15.25016,-22.50357,100,141.199097,DIS
20190619,20190719,C,75000,1.83,1.87,339,8156,0.186914,0.556906,0.097805,8.527448,-10.65775,100,75.469174,XOM
20190619,20190719,P,75000,1.26,1.3,133,17996,0.17399,-0.444221,0.106431,8.517944,-8.302999,100,75.469174,XOM
20190619,20190719,C,195000,6.25,6.4,60,3047,0.259839,0.54291,0.027206,22.24837,-37.55713,100,196.027472,GS
20190619,20190719,P,195000,5.1,5.2,102,3000,0.252125,-0.459253,0.028294,22.24098,-32.13308,100,196.027472,GS
20190619,20190719,C,210000,3.45,3.55,266,1431,0.178942,0.449131,0.037083,23.58903,-27.83508,100,208.351833,HD
20190619,20190719,P,210000,4.95,5.15,29,168,0.173333,-0.558801,0.038965,23.46552,-22.39115,100,208.351833,HD
20190619,20190719,C,47000,1.46,1.48,247,6060,0.25813,0.533403,0.114086,5.365081,-8.990043,100,47.163224,INTC
20190619,20190719,P,47000,1.25,1.27,273,7719,0.248321,-0.469139,0.119731,5.362658,-7.616884,100,47.163224,INTC
20190619,20190719,C,140000,2.85,2.9,368,5027,0.256581,0.411874,0.038586,15.29366,-25.15653,100,137.351492,IBM
20190619,20190719,P,140000,5.25,5.4,44,1702,0.242111,-0.599268,0.041289,15.16085,-20.63408,100,137.351492,IBM
20190619,20190719,C,140000,3.1,3.25,652,4610,0.17456,0.551184,0.056273,15.93273,-18.69927,100,140.728166,JNJ
20190619,20190719,P,140000,2.26,2.34,595,1187,0.164229,-0.451012,0.060686,15.91615,-14.5634,100,140.728166,JNJ
20190619,20190719,C,200000,6.6,6.75,68,7525,0.159533,0.711491,0.036491,20.02924,-22.77206,100,204.955119,MCD
20190619,20190719,P,200000,1.51,1.57,84,838,0.149457,-0.279085,0.03863,19.69247,-16.64091,100,204.955119,MCD
20190619,20190719,C,85000,2,2.03,523,11753,0.178615,0.55833,0.090264,9.659051,-11.59014,100,85.52906,MRK
20190619,20190719,P,85000,1.33,1.36,185,558,0.162917,-0.442047,0.100311,9.644175,-8.759075,100,85.52906,MRK
20190619,20190719,C,135000,3.85,3.9,13887,25724,0.218274,0.557382,0.046483,15.35962,-22.11468,100,135.958739,MSFT
20190619,20190719,P,135000,2.83,2.86,1816,3130,0.212556,-0.444735,0.04824,15.35455,-18.54281,100,135.958739,MSFT
20190619,20190719,C,170000,4.85,5.1,244,2065,0.226607,0.551979,0.035647,19.36489,-28.83331,100,171.088177,MMM
20190619,20190719,P,170000,3.75,3.95,189,1790,0.223623,-0.450551,0.036495,19.35956,-24.6598,100,171.088177,MMM
20190619,20190719,C,85000,2.32,2.35,219,3487,0.304534,0.448016,0.054211,9.474724,-18.39258,100,83.715477,NKE
20190619,20190719,P,85000,3.45,3.55,139,1584,0.290695,-0.559123,0.057282,9.437249,-15.68618,100,83.715477,NKE
20190619,20190719,C,44000,0.59,0.61,1061,22125,0.157926,0.426235,0.199037,4.890402,-5.128563,100,43.586153,PFE
20190619,20190719,P,44000,0.96,0.97,94,666,0.146234,-0.588601,0.219519,4.832623,-3.801788,100,43.586153,PFE
20190619,20190719,C,110000,2.13,2.16,571,8144,0.148263,0.562281,0.086287,12.30187,-13.0061,100,109.891314,PG
20190619,20190719,P,110000,1.76,1.82,1642,1881,0.137853,-0.499959,0.090886,12.54553,-9.157237,100,109.891314,PG
20190619,20190719,C,150000,3.6,3.8,78,521,0.153475,0.620947,0.057022,16.53716,-17.61143,100,151.900259,TRV
20190619,20190719,P,150000,1.6,1.8,6,54,0.146425,-0.377865,0.060418,16.498,-13.46565,100,151.900259,TRV
20190619,20190719,C,125000,4.1,4.4,147,2552,0.218701,0.612472,0.048173,13.91863,-20.27814,100,127.011053,UTX
20190619,20190719,P,125000,1.88,1.94,305,2079,0.193943,-0.379101,0.054422,13.81698,-15.24327,100,127.011053,UTX
20190619,20190719,C,250000,7.4,7.65,1144,8409,0.251218,0.529499,0.022071,28.53889,-46.60297,100,250.685511,UNH
20190619,20190719,P,250000,6.3,6.4,329,6339,0.232964,-0.47333,0.02405,28.52049,-37.84772,100,250.685511,UNH
20190619,20190719,C,57500,1.08,1.1,264,14095,0.169003,0.535129,0.161602,6.323215,-8.380998,100,57.140446,VZ
20190619,20190719,P,57500,1.24,1.25,138,18513,0.160067,-0.543938,0.149697,6.462129,-5.584591,100,57.140446,VZ
20190619,20190719,C,110000,1.82,1.84,544,11216,0.152253,0.495165,0.083345,12.53769,-12.87066,100,109.837107,WMT
20190619,20190719,P,110000,1.83,1.88,304,2971,0.139929,-0.513057,0.092648,12.49397,-9.500816,100,109.837107,WMT
20190619,20190719,C,52500,2.18,2.21,74,2830,0.32107,0.559591,0.080989,5.983151,-12.34151,100,53.004772,WBA
20190619,20190719,P,52500,1.64,1.67,450,6388,0.31411,-0.441781,0.083338,5.98235,-10.90258,100,53.004772,WBA
20190619,20190719,C,170000,4.05,4.1,407,2302,0.181809,0.55634,0.044379,19.32887,-23.55747,100,171.028058,V
20190619,20190719,P,170000,2.67,2.72,102,1049,0.162487,-0.443454,0.050329,19.29435,-17.47021,100,171.028058,V
20190619,20190719,C,47500,2.1,2.15,5,123,0.276435,0.628287,0.098352,5.258006,-9.52176,100,48.596056,DOW
20190619,20190719,P,47500,0.95,1.05,30,173,0.269827,-0.371118,0.101262,5.252028,-8.21365,100,48.596056,DOW